Title,Year,Notes
The Scarlet Pimpernel,1934,(BR) d.- Harold Young (7)
Tarzan and His Mate,1934,"d.- Jack Conway, Cedric Gibbons (7)"
The Black Cat,1934,d.- Edgar G. Ulmer (7)
The Count of Monte Cristo,1934,d.- Rowland V. Lee (6 1/2)
"Little Man, What Now",1934,d.- Frank Borzage (6 1/2)
Imitation of Life,1934,d.- John M. Stahl (6 1/2)
Our Daily Bread,1934,d.- King Vidor (6 1/2)
Dames,1934,"d.- Busby Berkeley, Ray Enright (6 1/2)"
Treasure Island,1934,d.- Victor Fleming (6 1/2)
One Night of Love,1934,d.- Victor Schertzinger (6 1/2)
Babes in Toyland,1934,"d.- Gus Meins, Charley Rogers (6 1/2)"
Six of a Kind,1934,d.- Leo McCarey (6 1/2)
The Lost Patrol,1934,d.- John Ford (6 1/2)
You’re Telling Me!,1934,d.- Erle C. Kenton (6 1/2)
Music in the Air,1934,d.- Joe May (6 1/2)
The Old Fashioned Way,1934,d.- William Beaudine (6 1/2)
Charlie Chan In London,1934,d.- Eugene Forde (6 1/2)
Cleopatra,1934,d.- Cecil B. DeMille (6 1/2)
The Man Who Knew Too Much,1934,(BR) d.- Alfred Hitchcock (6 1/2)
Of Human Bondage,1934,d.- John Cromwell (6 1/2)
Death Takes a Holiday,1934,d.- Mitchell Leisen (6 1/2)
The Cat and the Fiddle,1934,d.- William K. Howard (6 1/2)
The Barretts of Wimpole Street,1934,d.- Sidney Franklin (6 1/2)
Bright Eyes,1934,d.- David Butler (6 1/2)
Anne of Green Gables,1934,d.- George Nichols Jr. (6 1/2)
Fog Over Frisco,1934,d.- William Dieterle (6 1/2)
What Every Woman Knows,1934,d.- Gregory La Cava (6 1/2)
Riptide,1934,d.- Edmund Goulding (6 1/2)
Little Miss Marker,1934,d.- Alexander Hall (6 1/2)
Upperworld,1934,d.- Roy Del Ruth (6 1/2)
Viva Villa,1934,"d.- Howard Hawks, Jack Conway (6 1/2)"
Evergreen,1934,(BR) d.- Victor Saville (6 1/2)
Gabriel Over the White House,1934,d.- Gregory La Cava (6 1/2)
The Mystery of Mr. X,1934,d.- Edgar Selwyn (6 1/2)
Belle of the Nineties,1934,d.- Leo McCarey (6 1/2)
Manhattan Melodrama,1934,d.- W. S. Van Dyke (6 1/2)
The Private Life of Don Juan,1934,(BR) d.- Alexander Korda (6 1/2)
The House of Rothschild,1934,d.- Alfred L. Werker (6 1/2)
The Painted Veil,1934,d.- Richard Boleslawski (6 1/2)
Bulldog Drummond Strikes Back,1934,d.- Roy Del Ruth (6 1/2)
Broadway Bill,1934,d.- Frank Capra (6 1/2)
The Richest Girl in the World,1934,d.- William A. Seiter (6 1/2)
A Modern Hero,1934,d.- G. W. Pabst (6 1/2)
The Captain Hates the Sea,1934,d.- Lewis Milestone (6 1/2)
Kid Millions,1934,d.- Roy Del Ruth (6 1/2)
The Girl from Missouri,1934,d.- Jack Conway (6 1/2)
The Clairvoyant,1934,(BR) d.- Maurice Elvey (6 1/2)
The Little Minister,1934,d.- Richard Wallace (6 1/2)
Wonder Bar,1934,d.- Lloyd Bacon (6 1/2)
Murder In the Private Car,1934,d.- Harry Beaumont (6 1/2)
Heat Lightning,1934,d.- Mervyn LeRoy (6 1/2)
Bolero,1934,d.- Wesley Ruggles (6 1/2)
Madame Du Barry,1934,d.- William Dieterle (6 1/2)
George White’s Scandals,1934,"d.- T. Freeland, H. Lachman, G. White (6 1/2)"
Flirtation Walk,1934,d.- Frank Borzage (6 1/2)
Men in White,1934,d.- Richard Boleslawski (6 1/2)
Hide-Out,1934,d.- W. S. Van Dyke (6 1/2)
Cockeyed Cavaliers,1934,d.- Mark Sandrich (6 1/2)
Catherine the Great,1934,(BR) d.- Paul Czinner (6 1/2)
Sadie McKee,1934,d.- Clarence Brown (6 1/2)
The Affairs of Cellini,1934,d.- Gregory La Cava (6 1/2)
Forsaking All Others,1934,d.- W. S. Van Dyke (6 1/2)
This Man is Mine,1934,d.- John Cromwell (6 1/2)
Stamboul Quest,1934,d.- Sam Wood (6 1/2)
Fashions of 1934,1934,d.- William Dieterle (6 1/2)
No Greater Glory,1934,d.- Frank Borzage (6 1/2)
Palooka,1934,d.- Benjamin Stoloff (6 1/2)
Mandalay,1934,d.- Michael Curtiz (6 1/2)
Moulin Rouge,1934,d.- Sidney Lanfield (6 1/2)
Operator 13,1934,d.- Richard Boleslawski (6 1/2)
Jimmy the Gent,1934,d.- Michael Curtiz (6 1/2)
The Gay Bride,1934,d.- Jack Conway (6 1/2)
Sing and Like It,1934,d.- William A. Seiter (6 1/2)
Lorna Doone,1934,(BR) d.- Basil Dean (6 1/2)
"Hi, Nellie!",1934,d.- Mervyn LeRoy (6 1/2)
Chu-Chin-Chow,1934,BR) d.- Walter Forde (6 1/2)
Waltzes from Vienna,1934,(BR) d.- Alfred Hitchcock (6 1/2)
Marie Galante,1934,d.- Henry King (6 1/2)
Judge Priest,1934,d.- John Ford (6 1/2)
Charlie Chan’s Courage,1934,d.- Eugene Forde (6 1/2)
Four Frightened People,1934,d.- Cecil B. DeMille (6 1/2)
The Pursuit of Happiness,1934,d.- Alexander Hall (6 1/2)
He Was Her Man,1934,d.- Lloyd Bacon (6 1/2)
Here Comes the Navy,1934,d.- Lloyd Bacon (6 1/2)
Crime Without Passion,1934,"d.- Ben Hecht, Charles MacArthur (6 1/2)"
Stingaree,1934,d.- William A. Wellman (6 1/2)
Evelyn Prentice,1934,d.- William K. Howard (6 1/2)
Moulin Rouge,1934,d.- Sidney Lanfield (6 1/2)
Murder at the Vanities,1934,d.- Mitchell Leisen (6 1/2)
Chained,1934,d.- Clarence Brown (6 1/2)
