Title,Year,Notes
Surviving Desire,1991,d.- Hal Hartley (6 1/2)
Ernest Scared Stupid,1991,d.- John R. Cherry III (6 1/2)
The Butcher’s Wife,1991,d.- Terry Hughes (6 1/2)
Harley Davidson and the Marlboro Man,1991,d.- Simon Wincer (6 1/2)
December Bride,1991,(BR-IRE) d.- Thaddeus O’Sullivan (6 1/2)
King Ralph,1991,d.- David S. Ward (6 1/2)
V. I. Warshawski,1991,d.- Jeff Kanew (6 1/2)
Whore,1991,(BR-US) d.- Ken Russell (6 1/2)
Highlander II: The Quickening,1991,(FR-BR-ARG) d.- Russell Mulcahy (6 1/2)
Salmonberries,1991,(GER) d.- Percy Adlon (6 1/2)
Where Angels Fear to Tread,1991,(BR) d.- Charles Sturridge (6 1/2)
"He Said, She Said",1991,"d.- Ken Kwapis, Marisa Silver (6 1/2)"
My Girl,1991,d.- Howard Zieff (6 1/2)
The End of the Golden Weather,1991,(NZ) d.- Ian Mune (6 1/2)
The Marrying Man,1991,d.- Jerry Rees (6 1/2)
The Perfect Weapon,1991,d.- Mark DiSalle (6 1/2)
True Colors,1991,d.- Herbert Ross (6 1/2)
Across the Tracks,1991,d.- Sandy Tung (6 1/2)
Extreme Justice,1991,d.- Mark L. Lester (6 1/2)
Don’t Tell Mom the Babysitter’s Dead,1991,d.- Stephen Herek (6 1/2)
Out for Justice,1991,d.- John Flynn (6 1/2)
Sam & Me,1991,(CAN) d.- Deepa Mehta (6 1/2)
Queen’s Logic,1991,d.- Steve Rash (6 1/2)
Blue Desert,1991,d.- Bradley Battersby (6 1/2)
Road to Ruin,1991,(FR-US) d.- Charlotte Brandstrom (6 1/2)
Nothing But Trouble,1991,d.- Dan Aykroyd (6 1/2)
Bill and Ted’s Bogus Journey,1991,d.- Peter Hewitt (6 1/2)
Rush,1991,d.- Lili Fini Zanuck (6 1/2)
My Heroes Have Always Been Cowboys,1991,d.- Stuart Rosenberg (6 1/2)
Year of the Gun,1991,d.- John Frankenheimer (6 1/2)
Strictly Business,1991,d.- Kevin Hooks (6 1/2)
Under Suspicion,1991,(BR) d.- Simon Moore (6 1/2)
Toy Soldiers,1991,d.- Daniel Petrie Jr. (6 1/2)
Delusion,1991,d.- Carl Colpaert (6)
Johnny Suede,1991,(FR-US-SW) d.- Tom DiCillo (6)
Blue Desert,1991,d.- Bradley Battersby (6)
The Flight of the Intruder,1991,d.- John Milius (6)
Drop Dead Fred,1991,d.- Ate de Jong (6 1/2)
Slacker,1991,d.- Richard Linklater (6)
If Looks Could Kill,1991,d.- William Dear (6)
Dutch,1991,d.- Peter Faiman (6)
American Friends,1991,(BR) d.- Tristram Powell (6)
The Hours and Times,1991,d.- Christopher Munch (6)
Motorama,1991,d.- Barry Shils (6)
Shakes the Clown,1991,d.- Bob Goldthwait (6)
A Climate for Killing,1991,d.- J. S. Cardone (6)
Highway to Hell,1991,d.- Ate de Jong (5 1/2)
Unforgiven,1992,d.- Clint Eastwood (7)
The Last of the Mohicans,1992,d.- Michael Mann (7)
Malcolm X,1992,d.- Spike Lee (7)
Glengarry Glen Ross,1992,d.- James Foley (7)
The Crying Game,1992,(IRE) d.- Neil Jordan (7)
Howard's End,1992,(BR) d.- James Ivory (6 1/2)
A Few Good Men,1992,d.- Rob Reiner (6 1/2)
Reservoir Dogs,1992,d.- Quentin Tarantino (6 1/2)
The Player,1992,d.- Robert Altman (6 1/2)
Of Mice and Men,1992,d.- Gary Sinise (6 1/2)
The Waterdance,1992,"d.- Neil Jimenez, Michael Steinberg (6 1/2)"
Enchanted April,1992,(BR) d.- Mike Newell (6 1/2)
Thunderheart,1992,d.- Michael Apted (6 1/2)
Chaplin,1992,(BR-US) d.- Richard Attenborough (6 1/2)
Strictly Ballroom,1992,(AUS) d.- Baz Luhrmann (6 1/2)
A River Runs Through It,1992,d.- Robert Redford (6 1/2)
My Cousin Vinny,1992,d.- Jonathan Lynn (6 1/2)
Bram Stoker's Dracula,1992,d.- Francis Ford Coppola (6 1/2)
Basic Instinct,1992,d.- Paul Verhoeven (6 1/2)
Patriot Games,1992,d.- Phillip Noyce (6 1/2)
A League of Their Own,1992,d.- Penny Marshall (6 1/2)
Scent of a Woman,1992,d.- Martin Brest (6 1/2)
School Ties,1992,d.- Robert Mandel (6 1/2)
One False Move,1992,d.- Carl Franklin (6 1/2)
Passion Fish,1992,d.- John Sayles (6 1/2)
A Midnight Clear,1992,d.- Keith Gordon (6 1/2)
Lorenzo's Oil,1992,d.- George Miller (6 1/2)
Damage,1992,(FR-BR) d.- Louis Malle (6 1/2)
Bob Roberts,1992,d.- Tim Robbins (6 1/2)
Death Becomes Her,1992,d.- Robert Zemeckis (6 1/2)
Orlando,1992,(BR-RUS-FR-IT-NETH) d.- Sally Potter (6 1/2)
American Heart,1992,d.- Martin Bell (6 1/2)
Husbands and Wives,1992,d.- Woody Allen (6 1/2)
The Muppet Christmas Carol,1992,d.- Brian Henson (6 1/2)
Batman Returns,1992,d.- Tim Burton (6 1/2)
Sneakers,1992,d.- Phil Alden Robinson (6 1/2)
Daughters of the Dust,1992,d.- Julie Dash (6 1/2)
Red Rock West,1992,d.- John Dahl (6 1/2)
Lethal Weapon 3,1992,d.- Richard Donner (6 1/2)
Sarafina!,1992,(FR-S.A.-BR-US) d.- Darrell Roodt (6 1/2)
American Me,1992,d.- Edward James Olmos (6 1/2)
Wayne's World,1992,d.- Penelope Spheeris (6 1/2)
HouseSitter,1992,d.- Frank Oz (6 1/2)
Hero,1992,d.- Stephen Frears (6 1/2)
Prelude to a Kiss,1992,d.- Norman Rene (6 1/2)
Sister Act,1992,d.- Emile Ardolino (6 1/2)
Romper Stomper,1992,(AUS) d.- Geoffrey Wright (6 1/2)
Love Field,1992,d.- Jonathan Kaplan (6 1/2)
Far and Away,1992,d.- Ron Howard (6 1/2)
Bad Lieutenant,1992,d.- Abel Ferrara (6 1/2)
The Cutting Edge,1992,d.- Paul Michael Glaser (6 1/2)
City of Joy,1992,(FR-BR-US) d.- Roland Joffe (6 1/2)
Twin Peaks: Fire Walk with Me,1992,(FR-US) d.- David Lynch (6 1/2)
Final Analysis,1992,d.- Phil Joanou (6 1/2)
A Day in October,1992,(DEN-US) d.- Kenneth Madsen (6 1/2)
Unlawful Entry,1992,d.- Jonathan Kaplan (6 1/2)
Singles,1992,d.- Cameron Crowe (6 1/2)
Into the West,1992,(IRE) d.- Mike Newell (6 1/2)
Peter’s Friends,1992,(BR) d.- Kenneth Branaugh (6 1/2)
Juice,1992,d.- Ernest R. Dickerson (6 1/2)
Night and the City,1992,d.- Irwin Winkler (6 1/2)
Deep Cover,1992,d.- Bill Duke (6 1/2)
South Central*,1992,d.- Steve Anderson (6 1/2)
Alien 3,1992,d.- David Fincher (6 1/2)
Simple Men,1992,(IT-BR-US) d.- Hal Hartley (6 1/2)
Trespass,1992,d.- Walter Hill (6 1/2)
Passenger 57,1992,d.- Kevin Hooks (6 1/2)
Noises Off…,1992,d.- Peter Bogdanovich (6 1/2)
Medicine Man,1992,d.- John McTiernan (6 1/2)
Single White Female,1992,d.- Barbet Schroeder (6 1/2)
Hoffa,1992,d.- Danny DeVito (6 1/2)
Mambo Kings,1992,d.- Arne Glimcher (6 1/2)
The Hand that Rocks the Cradle,1992,d.- Curtis Hanson (6 1/2)
Diggstown,1992,d.- Michael Ritchie (6 1/2)
Army of Darkness,1992,d.- Sam Raimi (6 1/2)
Forever Young,1992,d.- Steve Miner (6 1/2)
Under Siege,1992,d.- Andrew Davis (6 1/2)
Braindead,1992,(NZ) d.- Peter Jackson (6 1/2)
Emily Bronte’s Wuthering Heights,1992,(BR-US) d.- Peter Kosminsky (6 1/2)
Leap of Faith,1992,d.- Richard Pearce (6 1/2)
The Playboys,1992,(US-BR-IRE) d.- Gillies MacKinnon (6 1/2)
Memoirs of an Invisible Man,1992,d.- John Carpenter (6 1/2)
Gladiator,1992,d.- Rowdy Herrington (6 1/2)
Radio Flyer,1992,d.- Richard Donner (6 1/2)
The Distinguished Gentleman,1992,d.- Jonathan Lynn (6 1/2)
Boomerang,1992,d.- Reginald Hudlin (6 1/2)
Monster in a Box,1992,(BR-US) d.- Nick Broomfield (6 1/2)
White Men Can’t Jump,1992,d.- Ron Shelton (6 1/2)
The Mighty Ducks,1992,d.- Stephen Herek (6 1/2)
Home Alone 2: Lost in New York,1992,d.- Chris Columbus (6 1/2)
Wind,1992,d.- Carroll Ballard (6 1/2)
K2,1992,(BR-JAP-US) d.- Franc Roddam (6 1/2)
The Bodyguard,1992,d.- Mick Jackson (6 1/2)
Honeymoon in Vegas,1992,d.- Andrew Bergman (6 1/2)
Candyman,1992,d.- Bernard Rose (6 1/2)
Bitter Moon,1992,(FR-BR) d.- Roman Polanski (6 1/2)
Spotswood,1992,(AUS) d.- Mark Joffe (6 1/2)
Careful,1992,(CAN) d.- Guy Maddin (6 1/2)
Leaving Normal,1992,d.- Edward Zwick (6 1/2)
The Power of One,1992,(AUS-FR-US) d.- John G. Avildsen (6 1/2)
Shadows and Fog,1992,d.- Woody Allen (6 1/2)
1492: Conquest of Paradise,1992,(BR-US-FR-SP) d.- Ridley Scott (6 1/2)
Zebrahead,1992,d.- Anthony Drazan (6 1/2)
Year of the Comet,1992,d.- Peter Yates (6 1/2)
Crush,1992,(NZ) d.- Alison Maclean (6 1/2)
CrissCross,1992,d.- Chris Menges (6 1/2)
Ruby,1992,(BR-US-JAP) d.- John Mackenzie (6 1/2)
Freejack,1992,d.- Geoff Murphy (6 1/2)
Live Wire,1992,d.- Christian Duguay (6 1/2)
That Night,1992,(FR-US) d.- Craig Bolotin (6 1/2)
Lapse of Memory,1992,(CAN-FR) d.- Patrick Dewolf (6 1/2)
Over the Hill,1992,(AUS) d.- George Miller (6 1/2)
Mr. Baseball,1992,(US-JAP) d.- Fred Schepisi (6 1/2)
Swoon,1992,d.- Tom Kalin (6 1/2)
White Sands,1992,d.- Roger Donaldson (6 1/2)
This is My Life,1992,d.- Nora Ephron (6 1/2)
Innocent Blood,1992,d.- John Landis (6 1/2)
Gas Food Lodging,1992,d.- Allison Anders (6 1/2)
Universal Soldier,1992,d.- Roland Emmerich (6 1/2)
Only You,1992,d.- Betty Thomas (6 1/2)
Encino Man,1992,d.- Les Mayfield (6 1/2)
Kuffs,1992,d.- Bruce A. Evans (6 1/2)
Jennifer Eight,1992,d.- Bruce Robinson (6 1/2)
Live Wire,1992,d.- Christian Duguay (6 1/2)
Captain Ron,1992,d.- Thom Eberhardt (6 1/2)
Raising Cain,1992,d.- Brian De Palma (6 1/2)
Pure Country,1992,d.- Christopher Cain (6 1/2)
Buffy the Vampire Slayer,1992,d.- Fran Rubel Kuzui (6 1/2)
The Babe,1992,d.- Arthur Hiller (6 1/2)
Used People,1992,(US-JAP) d.- Beeban Kidron (6 1/2)
Where the Day Takes You,1992,d.- Marc Rocco (6 1/2)
The Public Eye,1992,d.- Howard Franklin (6 1/2)
Toys,1992,d.- Barry Levinson (6 1/2)
Consenting Adults,1992,d.- Alan J. Pakula (6 1/2)
Article 99,1992,d.- Howard Deutch (6 1/2)
Guncrazy,1992,d.- Tamra Davis (6 1/2)
The Vagrant,1992,(FR-US) d.- Chris Walas (6 1/2)
Poison Ivy,1992,d.- Katt Shea (6 1/2)
Beethoven,1992,d.- Brian Levant (6 1/2)
The Long Day Closes,1992,(BR) d.- Terence Davies (6 1/2)
Stan and George’s New Life,1992,d.- Brian McKenzie (6 1/2)
Mr. Saturday Night,1992,d.- Billie Crystal (6 1/2)
Laws of Gravity,1992,d.- Nick Gomez (6 1/2)
On My Own,1992,(IT-CAN-AUS) d.- Antonio Tibaldi (6 1/2)
3 Ninjas,1992,d.- Jon Turtletaub (6 1/2)
Light Sleeper,1992,d.- Paul Schrader (6 1/2)
Man Trouble,1992,d.- Bob Rafelson (6 1/2)
The Lawnmower Man,1992,(BR-US-JAP) d.- Brett Leonard (6 1/2)
Honey I Blew Up the Kid,1992,d.- Randall Kleiser (6 1/2)
The Power of One,1992,(AUS-FR-US) d.- John G. Avildsen (6 1/2)
Secrets,1992,(NZ-AUS) d.- Michael Pattinson (6 1/2)
La Peste(The Plague),1992,(FR-BR-AR) d.- Luis Puenzo (6 1/2)
Love Potion #9,1992,d.- Dale Launer (6 1/2)
Curly Sue,1992,d.- John Hughes (6 1/2)
Change of Heart,1992,(CAN) d.- Donald Shebib (6 1/2)
The Gun in Betty Lou’s Handbag,1992,d.- Allan Moyle (6)
Passed Away,1992,d.- Charlie Peters (6)
Shining Through,1992,(US-BR) d.- David Seltzer (6)
Folks!,1992,d.- Ted Kotcheff (6)
Waterland,1992,(BR) d.- Stephen Gyllenhaal (6)
A Stranger Among Us,1992,d.- Sidney Lumet (6)
Galaxies Are Colliding,1992,d.- John Ryman (6)
Equinox,1992,d.- Alan Rudolph (6)
Passed Away,1992,d.- Charlie Peters (6)
The Resurrected,1992,d.- Dan O’Bannon (6)
Beyond the Law,1992,d.- Larry Ferguson (6)
Crossing the Bridge,1992,d.- Mike Binder (6)
Schindler's List,1993,d.- Steven Spielberg (7)
The Remains of the Day,1993,(BR) d.- James Ivory (7)
The Piano,1993,(AUS-NZ-FR) d.- Jane Campion (7)
Groundhog Day,1993,d.- Harold Ramis (7)
Philadelphia,1993,d.- Jonathan Demme (7)
Jurassic Park,1993,d.- Steven Spielberg (7)
Naked,1993,(BR) d.- Mike Leigh (7)
Tombstone,1993,d.- George P. Cosmatos (7)
Searching for Bobby Fischer,1993,d.- Steven Zaillian (6 1/2)
King of the Hill,1993,d.- Steven Soderbergh (6 1/2)
Much Ado about Nothing,1993,(BR-US) d.- Kenneth Branagh (6 1/2)
Raining Stones,1993,(BR) d.- Ken Loach (6 1/2)
The Fugitive,1993,d.- Andrew Davis (6 1/2)
Shadowlands,1993,(BR) d.- Richard Attenborough (6 1/2)
Map of the Human Heart,1993,(AUS-BR-CAN-FR) d.- Vincent Ward (6 1/2)
What's Love Got to Do with It,1993,d.- Brian Gibson (6 1/2)
Short Cuts,1993,d.- Robert Altman (6 1/2)
In the Name of the Father,1993,(IRE-BR) d.- Jim Sheridan (6 1/2)
Menace II Society,1993,"d.- Albert Hughes, Allen Hughes (6 1/2)"
Gettysburg,1993,d.- Ronald F. Maxwell (6 1/2)
Fearless,1993,d.- Peter Weir (6 1/2)
The Secret Garden,1993,(US-BR) d.- Agnieszka Holland (6 1/2)
The Joy Luck Club,1993,d.- Wayne Wang (6 1/2)
Carlito's Way,1993,d.- Brian De Palma (6 1/2)
True Romance,1993,d.- Tony Scott (6 1/2)
Sleepless in Seattle,1993,d.- Nora Ephron (6 1/2)
In the Line of Fire,1993,d.- Wolfgang Peterson (6 1/2)
What’s Eating Gilbert Grape,1993,d.- Lasse Hallstrom (6 1/2)
The Age of Innocence,1993,d.- Martin Scorsese (6 1/2)
Arizona Dream,1993,(US-FR) d.- Emir Kusturica (6 1/2)
Falling Down,1993,(FR-US) d.- Joel Schumacher (6 1/2)
Household Saints,1993,d.- Nancy Savoca (6 1/2)
The Firm,1993,d.- Sydney Pollack (6 1/2)
Six Degrees of Separation,1993,d.- Fred Schepisi (6 1/2)
The Sandlot,1993,d.- David M. Evans (6 1/2)
Manhattan Murder Mystery,1993,d.- Woody Allen (6 1/2)
This Boy’s Life,1993,d.- Michael Caton-Jones (6 1/2)
Dave,1993,d.- Ivan Reitman (6 1/2)
A Bronx Tale,1993,d.- Robert De Niro (6 1/2)
Bad Boy Bubby,1993,(AUS) d.- Rolf de Heer (6 1/2)
Mrs. Doubtfire,1993,d.- Chris Columbus (6 1/2)
Geronimo: An American Legend,1993,d.- Walter Hill (6 1/2)
Grumpy Old Men,1993,d.- Donald Petrie (6 1/2)
The Ballad of Little Jo,1993,d.- Maggie Greenwald (6 1/2)
Rudy,1993,d.- David Anspaugh (6 1/2)
Cliffhanger,1993,d.- Renny Harlin (6 1/2)
Cool Runnings,1993,d.- Jon Turtletaub (6 1/2)
Ruby in Paradise,1993,d.- Victor Nunez (6 1/2)
Sirens,1993,(AUS) d.- John Duigan (6 1/2)
The Pelican Brief,1993,d.- Alan J. Pakula (6 1/2)
Benny and Joon,1993,d.- Jeremiah S. Chechik (6 1/2)
Bopha!,1993,d.- Morgan Freeman (6 1/2)
Alive,1993,d.- Frank Marshall (6 1/2)
Addams Family Values,1993,d.- Barry Sonnenfeld (6 1/2)
Malice,1993,(CAN-US) d.- Harold Becker (6 1/2)
Addams Family Values,1993,d.- Barry Sonnenfeld (6 1/2)
Wrestling Ernest Hemingway,1993,d.- Randa Haines (6 1/2)
Sommersby,1993,d.- Jon Amiel (6 1/2)
Untamed Heart,1993,d.- Tony Bill (6 1/2)
Mr. Jones,1993,d.- Mike Figgis (6 1/2)
Romeo is Bleeding,1993,(BR-US) d.- Peter Medak (6 1/2)
House of Cards,1993,d.- Michael Lessac (6 1/2)
Hard Target,1993,d.- John Woo (6 1/2)
Little Buddha,1993,(BR-FR) d.- Bernardo Bertolucci (6 1/2)
Where the River Flows North,1993,d.- Jay Craven (6 1/2)
The Music of Chance,1993,d.- Philip Haas (6 1/2)
Homeward Bound: The Incredible Journey,1993,d.- Duwayne Dunham  (6 1/2)
Lost in Yonkers,1993,d.- Martha Coolidge (6 1/2)
Point of  No Return,1993,d.- John Badham (6 1/2)
A Home of Their Own,1993,d.- Tony Bill (6 1/2)
A Perfect World,1993,d.- Clint Eastwood (6 1/2)
The Three Musketeers,1993,(AUST-BR-US) d.- Stephen Herek (6 1/2)
Hot Shots! Part Deux,1993,d.- Jim Abrahams (6 1/2)
Demolition Man,1993,d.- Marco Brambilla (6 1/2)
The House of the Spirits,1993,(POR-GER-DEN-US) d.- Bille August (6 1/2)
Bhaji on the Beach,1993,(BR) d.- Gurinder Chadha (6 1/2)
Bound by Honor,1993,d.- Taylor Hackford (6 1/2)
Free Willy,1993,d.- Simon Wincer (6 1/2)
Century,1993,(BR) d.- Stephen Poliakoff (6 1/2)
Rising Sun,1993,d.- Philip Kaufman (6 1/2)
The Program,1993,d.- David S. Ward (6 1/2)
My Life,1993,d.- Bruce Joel Rubin (6 1/2)
Ethan Frome,1993,(BR-US) d.- John Madden (6 1/2)
Mr. Wonderful,1993,d.- Anthony Minghella (6 1/2)
Heaven and Earth,1993,d.- Oliver Stone (6 1/2)
The Saint of Fort Washington,1993,d.- Tim Hunter (6 1/2)
Hocus Pocus,1993,d.- Kenny Ortega (6 1/2)
M. Butterfly,1993,d.- David Cronenberg (6 1/2)
Made in America,1993,d.- Richard Benjamin (6 1/2)
Another Stakeout,1993,d.- John Badham (6 1/2)
A Far Off Place,1993,d.- Mikael Salomon (6 1/2)
Robin Hood: Men in Tights,1993,d.- Mel Brooks (6 1/2)
Mad Dog and Glory,1993,d.- John McNaughton (6 1/2)
The Crush,1993,d.- Alan Shapiro (6 1/2)
Indecent Proposal,1993,d.- Adrian Lyne (6 1/2)
The Good Son,1993,d.- Joseph Ruben (6 1/2)
Matinee,1993,d.- Joe Dante (6 1/2)
Love & Human Remains,1993,(CAN) d.- Denys Arcand (6 1/2)
The Adventures of Huck Finn,1993,d.- Stephen Sommers (6 1/2)
Swing Kids,1993,d.- Thomas Carter (6 1/2)
Hammers Over the Anvil,1993,(AUS) d.- Ann Turner (6 1/2)
The Real McCoy,1993,d.- Russell Mulcahy (6 1/2)
The Baby of Macon,1993,(BR-FR-GER-BEL-NETH) d.- Peter Greenaway (6 1/2)
Needful Things,1993,d.- Fraser Clarke Heston (6 1/2)
I Love a Man In a Uniform,1993,(CAN) d.- David Wellington (6 1/2)
Heart and Souls,1993,d.- Ron Underwood (6 1/2)
Splitting Heirs,1993,(BR) d.- Robert Young (6 1/2)
"Bodies, Rest & Motion",1993,d.- Michael Steinberg (6 1/2)
Posse,1993,(BR-US) d.- Mario Van Peebles (6 1/2)
Last Action Hero,1993,d.- John McTiernan (6 1/2)
Wide Sargasso Sea,1993,(AUS) d.- John Duigan (6 1/2)
Wilder Napalm,1993,d.- Glenn Gordon Caron (6 1/2)
Amongst Friends,1993,d.- Rob Weiss (6 1/2)
"Bodies, Rest & Motion",1993,d.- Michael Steinberg (6 1/2)
Rookie of the Year,1993,d.- Daniel Stern (6 1/2)
Striking Distance,1993,d.- Rowdy Herrington (6 1/2)
Sniper,1993,(US-PE) d.- Luis Llosa (6 1/2)
Frauds,1993,(AUS) d.- Stephan Elliott (6 1/2)
Loaded Weapon 1,1993,d.- Gene Quintano (6 1/2)
Born Yesterday,1993,d.- Luis Mandoki (6 1/2)
Son in Law,1993,d.- Steve Rash (6 1/2)
Judgment Night,1993,(US-JAP) d.- Stephen Hopkins (6 1/2)
For Love or Money,1993,d.- Barry Sonnenfeld (6 1/2)
For Love or Money,1993,d.- Barry Sonnenfeld (6 1/2)
Wayne’s World 2,1993,d.- Stephen Surjik (6 1/2)
Being Human,1993,(SCOT-JAP) d.- Bill Forsyth (6 1/2)
The Vanishing,1993,d.- George Sluizer (6 1/2)
Three of Hearts,1993,d.- Yurek Bogayevicz (6 1/2)
Flesh and Bone,1993,d.- Steven Kloves (6 1/2)
Amos and Andrew,1993,d.- E. Max Frye (6 1/2)
Fire in the Sky,1993,d.- Robert Lieberman (6 1/2)
The Young Americans,1993,(BR) d.- Danny Cannon (6 1/2)
The Dark Half,1993,d.- George A. Romero (6 1/2)
Dangerous Game,1993,d.- Abel Ferrara (6 1/2)
Mac,1993,d.- John Turturro (6 1/2)
Sister Act 2: Back in the Habit,1993,d.- Bill Duke (6 1/2)
The Beverly Hillbillies,1993,d.- Penelope Sheeris (6 1/2)
Quick,1993,d.- Susan Seidelman (6 1/2)
The Meteor Man,1993,d.- Robert Townsend (6 1/2)
Sibling Rivalry,1993,d.- Carl Reiner (6 1/2)
The Night We Never Met,1993,d.- Warren Leight (6 1/2)
Coneheads,1993,d.- Steve Barron (6 1/2)
The Innocent,1993,(GER-BR) d.- John Schlesinger (6 1/2)
Judgment Night,1993,(US-JAP) d.- Stephen Hopkins (6 1/2)
Huck and the King of Hearts,1993,d.- Michael Keusch (6 1/2)
What About Me,1993,d.- Rachel Amodeo (6 1/2)
The Innocent,1993,(GER-BR) d.- John Schlesinger (6 1/2)
Friends,1993,(SA-BR-FR) d.- Elaine Proctor (6 1/2)
Rich in Love,1993,d.- Bruce Beresford (6 1/2)
Boiling Point,1993,d.- James B. Harris (6 1/2)
Dennis the Menace,1993,d.- Nick Castle (6 1/2)
My Life’s in Turnaround,1993,"d.- Eric Schaeffer, Donal Lardner Ward (6 1/2)"
Beethoven’s 2nd,1993,d.- Rod Daniel (6 1/2)
The Cemetery Club,1993,d.- Bill Duke (6 1/2)
A Dangerous Woman,1993,d.- Stephen Gyllenhaal (6)
Samurai Cowboy,1993,(CAN) d.- Michael Keusch (6)
The Young Americans,1993,(BR) d.- Danny Cannon (6)
The Thing Called Love,1993,d.- Peter Bogdanovich (6)
Ed and His Dead Mother,1993,d.- Jonathan Wacks (6)
Joshua Tree,1993,d.- Vic Armstrong (6)
Samurai Cowboy,1993,(CAN) d.- Michael Keusch (6)
Deadly Advice,1993,(BR) d.- Mandie Fletcher (6)
Fortress,1993,(AUS-US) d.- Stuart Gordon (6)
Surf Ninjas,1993,d.- Neal Israel (6)
Nowhere to Run,1993,d.- Robert Harmon (6)
The Neighbor,1993,d.- Rodney Gibbons (6)
Guilty As Sin,1993,d.- Sidney Lumet (6 1/2)
The Harvest,1993,d.- David Marconi (6)
Aspen Extreme,1993,d.- Patrick Hasburgh (6)
Hour of the Pig,1993,(FR-BR) d.- Leslie Megahey (5 1/2)
Pulp Fiction,1994,d.- Quentin Tarantino (7)
Forrest Gump,1994,d.- Robert Zemeckis (7)
The Shawshank Redemption,1994,d.- Frank Darabont (7)
Once Were Warriors,1994,(NZ) d.- Lee Tamahori (7)
Ed Wood,1994,d.- Tim Burton (7)
Heavenly Creatures,1994,(NZ) d.- Peter Jackson (7)
Bullets Over Broadway,1994,d.- Woody Allen (7)
Little Women,1994,d.- Gillian Armstrong (6 1/2)
Four Weddings and a Funeral,1994,(BR) d.- Mike Newell (6 1/2)
Quiz Show,1994,d.- Robert Redford (6 1/2)
Fresh,1994,(FR-US) d.- Boaz Yakin (6 1/2)
The Secret of Roan Inish,1994,(US-IRE) d.- John Sayles (6 1/2)
Leon(The Professional),1994,(FR-US) d.- Luc Besson (6 1/2)
Ladybird Ladybird,1994,(BR) d.- Ken Loach (6 1/2)
The Madness of King George,1994,(BR) d.- Nicholas Hytner (6 1/2)
The Crow,1994,d.- Alex Proyas (6 1/2)
Vanya on 42nd Street,1994,(US-BR) d.- Louis Malle (6 1/2)
Speed,1994,d.- Jan De Bont (6 1/2)
The Hudsucker Proxy,1994,d.- Joel Coen (6 1/2)
Double Happiness,1994,(CAN) d.- Mina Shum (6 1/2)
"The Adventures of Priscilla, Queen of the Desert",1994,(AUS) d.- Stephan Elliott (6 1/2)
The Last Seduction,1994,d.- John Dahl (6 1/2)
Nobody's Fool,1994,d.- Robert Benton (6 1/2)
Dolores Claiborne,1994,d.- Taylor Hackford (6 1/2)
Immortal Beloved,1994,(BR-US) d.- Bernard Rose (6 1/2)
Legends of the Fall,1994,d.- Edward Zwick (6 1/2)
Second Best,1994,(BR-US) d.- Chris Menges (6 1/2)
The Sum of Us,1994,"(AUS) d.- Geoff Burton, Kevin Dowling (6 1/2)"
Death and the Maiden,1994,(BR-US-FR) d. Roman Polanski (6 1/2)
True Lies,1994,d.- James Cameron (6 1/2)
Squanto: A Warrior's Tale,1994,d.- Xavier Koller (6 1/2)
Interview with the Vampire: The Vampire Chronicles,1994,d.- Neil Jordan (6 1/2)
Shallow Grave,1994,(SCOT) d.- Danny Boyle (6 1/2)
"Corrina, Corrina",1994,d.- Jessie Nelson (6 1/2)
Maverick,1994,d.- Richard Donner (6 1/2)
Losing Isaiah,1994,d.- Stephen Gyllenhaal (6 1/2)
Blue Sky,1994,d.- Tony Richardson (6 1/2)
The Mask,1994,d.- Charles Russell (6 1/2)
The Client,1994,d.- Joel Schumacher (6 1/2)
The Browning Version,1994,(BR) d.- Mike Figgis (6 1/2)
Natural Born Killers,1994,d.- Oliver Stone (6 1/2)
Priest,1994,(BR) d.- Antonia Bird (6 1/2)
It Could Happen to You,1994,d.- Andrew Bergman (6 1/2)
Clear and Present Danger,1994,d.- Phillip Noyce (6 1/2)
Only You,1994,d.- Norman Jewison (6 1/2)
Don Juan DeMarco,1994,d.- Jeremy Leven (6 1/2)
Clerks,1994,d.- Kevin Smith (6 1/2)
Barcelona,1994,d.- Whit Stillman (6 1/2)
Mrs. Parker and the Vicious Circle,1994,d.- Alan Rudolph (6 1/2)
The Paper,1994,d.- Ron Howard (6 1/2)
The War,1994,d.- Jon Avnet (6 1/2)
Blink,1994,d.- Michael Apted (6 1/2)
Stargate,1994,d.- (FR-US) d.- Roland Emmerich (6 1/2)
Eden Valley,1994,"(BR) d.- Amber Production Team, Richard Grassick (6 1/2)"
Tom and Viv,1994,(BR-US) d.- Brian Gilbert (6 1/2)
Star Trek: Generations,1994,d.- David Carson (6 1/2)
The River Wild,1994,d.- Curtis Hanson (6 1/2)
I.Q.,1994,d.- Fred Schepisi (6 1/2)
"My Father, The Hero",1994,d.- Steve Miner (6 1/2)
Speechless,1994,d.- Ron Underwood (6 1/2)
The Ref,1994,d.- Ted Demme (6 1/2)
Wolf,1994,d.- Mike Nichols (6 1/2)
The Shadow,1994,d.- Russell Mulcahy (6 1/2)
The Glass Shield,1994,(FR-US) d.- Charles Burnett (6 1/2)
Timecop,1994,(US-JAP) d.- Peter Hyams (6 1/2)
Drop Zone,1994,d.- John Badham (6 1/2)
When a Man Loves a Woman,1994,d.- Luis Mandoki (6 1/2)
Wyatt Earp,1994,d.- Lawrence Kasdan (6 1/2)
